box,artist,name,version,tag
2,אני לא,מפחד מכיתה א,,
2,אני ציוני,,,
2,אני אשתגע,,,
2,האנסמבל הישראלי,לכלי פריטה,,
2,מרגלית אנקורי,מוכרחים לזוז,,
2,מרגלית אנקורי,היו ימים,,
2,אתי אנקרי,רואה לך בעיניים,,
2,אנרגיה חולנית,,,
2,ספיחס אסקימו,לימון 4,,
2,אסקימו לימון,,,
2,אסקימו לימון,שיפשוף נעים 3,,
2,אסקימו לימון,יוצאים קבוע,,
2,אסקימו לימון,באנגלית,,
2,16 להיטים,מהסרט אסקימו לימון שירים מקוריים,,
2,אף אוזן,גרון שמש אחת,,
2,אפור גשום,תנשמת,,
2,אפור גשום,שעון החול,,
2,אפור גשום,מקום אחר,,
2,קורין אלאל,אצבעות שמחות,,
2,נועם אקוטונס,זר דפנה לנצח,,
2,אקסודוס,,,
2,עופר אקרלינג,לא רוצה לזמביה,,
2,עופר אקרלינג,ילדי טלויזיה,,
2,גרי אקשטיין,מחזור א',,
2,ג'רי אקשטיין,לא לשידור,,
2,גרי אקשטיין,עבודת יד,,
2,גרי אקשטיין,גדליהו והמסטוק מספר החתול שמיל,,
2,יורם ארבל,(בקופסא תקליט יקר),,
2,יורם ארבל,מספר הבית ברחוב פיציקטו,,
2,4 קולות,,,
2,14 האוקטבות,,,
2,14 אוקטבות,,מהדורה חדשה,
2,44 שעות,בירושלים ביקור הנשיא סעדת בעברית,,
2,44 שעות,בירושלים ביקור הנשיא סעדת אנגלית,,
2,שיר אהבה,חיילי לסאשה ארגוב,,
2,שרון ארון,שירים ישראליים,,
3,זוהר ארגוב,חייו ומותו של המלך 17 דיסקים,מארז,
3,זוהר ארגוב,כך עוברים חיי,,
3,זוהר ארגוב,להיות אדם,,
3,זוהר ארגוב,היו זמנים,,
3,זוהר ארגוב,אמריקה שלי,,
3,זוהר ארגוב,אלינור,,
3,זוהר ארגוב,נכון להיום,,
3,זוהר ארגוב,נכוןלהיום מהדורה מקורית,,
3,זוהר ארגוב,אלינור,מהדורה חדשה,
3,סשה ארגוב,עדנה גורן וקובי רכט,,
3,נגה ארז,OF THE REDAR,,
3,נגה ארז,AGAINST THE MACHIN,,
3,ראובן ארז,דחף פנימי,,
3,ראובן ארז,נער הלילה,,
3,ארז פרופר,ליידי,,
3,ירדנה ארזי,אתה לי ארץ,,
3,ירדנה ארזי,דרישת שלום,,
3,ירדנה ארזי,עוד יום אחד,,
3,ירדנה ארזי,נשמה צענית,,
3,ירדנה ארזי,ריח דבש וריח מנטה,,
3,ירדנה ארזי,מה נשמע,,
3,ירדנה ארזי,,,
3,ירדנה ארזי,דמיון מזרחי,,
3,ירדנה ארזי,רמיקס,,
3,מאיר אריאל,שירי חג ומועד ונופל,,
3,מאיר אריאל,וגלוי עיניים,,
3,מאיר אריאל,ירוקות,,
3,מאיר אריאל,עברנו את פרעה,,
3,מאיר אריאל,וגלוי עיניים,מהדורה חדשה,
3,מאיר אריאל,רישומי פחם,,
3,מאיר אריאל,ירוקות,מהדורה חדשה,
3,מאיר אריאל,שיר הקומבינה,,
3,מאיר אריאל,מדרש יונתי,,
3,להקת האריות,תותי פרוטי,,
3,להקת האריות,עם מירי וחיימון לילה ויום,,
3,להקת האריות,הו דרלינג,,
3,להקת האריות,כמו שאהבנו,,
3,להקת האריות,טלוויזיה,,
3,ארמון,,,
3,מ. ארייניס,,,
3,דפנה ארמוני,,,
3,דפנה ארמוני,סיפור בג'ינס,,
3,יהודה ארן,קולות ודמויות,,
3,לוסי ארנון,,,
3,זמרה אורנת,שירים ישאליים,,
3,ארץ טרופית,יפה,,
3,ארץ ישראל,שלי מיטב שירי ארץ ישראל לילדים,,
3,שלמה ארצי,ושלום חנוך דיסק,,
3,שלמה ארצי,טיול לארץ התווים,,
3,שלמה ארצי,חצות,,
3,שלמה ארצי,מקום,,
3,שלמה ארצי,לילה לא שקט,,
3,שלמה ארצי,דרכים,,
3,שלמה ארצי,תרקוד,,
3,שלמה ארצי,השירים,,
3,שלמה ארצי,השירים היפים,,
3,שלמה ארצי,שר ומספר לילדים על יאן הגמד,,
3,שלמה ארצי,השירים 2,,
3,שלמה ארצי,חום יולי אוגוסט,,
3,שלמה ארצי,חום יולי אוגוסט2,,
3,שלמה ארצי,זמר השנה,,
3,שלמה ארצי,על אנשים,,
3,שלמה ארצי,לכל החברים מהמסע מים אל ים,,
3,שלמה ארצי,ואצ'ו,,
3,שלמה ארצי,כרטיס ללונה פארק,,
3,שלמה ארצי,כרטיס ללונה פארק,,
3,שלמה ארצי,רומנסה ופיוט,,
3,שלמה ארצי,אומרים ישנה ארץ,,
3,שלמה ארצי,את ואני,,
3,שלמה ארצי,פתאום אחרי ימים רבים,,
3,שלמה ארצי,תעודת זהות,,
3,שלמה ארצי,תעודת זהות,,
3,שלמה ארצי,משחקי 26,,
3,שלמה ארצי,טיול לארץ התווים,,
3,שלמה ארצי,טיול לארץ התווים,,
3,שלמה ארצי,סייסטה מקומית,,
3,שלמה ארצי,אחרי שנואבה נגמרה,,
3,שלמה ארצי,ירח,מהדורה חדשה,
3,שלמה ארצי,שניים,,
3,שלמה ארצי,לייבארבי,,
4,שלמה ארצי,מאיר שלו סיפורי התנך לילדים,,
4,שלמה ארצי,מאיר שלו סיפורי התנך לילדים ב,,
4,שלמה ארצי,מאיר שלו סיפורי התנך לילדים ג,,
4,שלמה ארצי,שר ומספר לילדים על יאן הגמד,,
4,שלמה ארצי,אהבתיהם,,
4,שלמה ארצי,יום ארוך,דיג'י,
4,שלמה ארצי,אושר אקספרס,,
4,שלמה ארצי,רומנסייה ופיוט,,
4,שלמה ארצי,ואצ'י,מהדורה חדשה,
4,ארצנו הרוקדת,משה אושרוביץ ולהקתו,,
4,אילן אשד,לשיר בחצוצרה,,
4,יזהר אשדות,הופעה חיה בהארד רוק קפה,,
4,יזהר אשדות,האלבום השני,,
4,האשקולית של,בית השיטה,,
4,אשרי האיש,חבורת שירלי,,
4,יהודה אשש,,,
4,רוני אשתר,זה הזמן,,
4,את תלכי,בשדה שירי לאה גולדברג,,
4,אתניקס האוסף,ספר,,
4,אתניקס,,,
4,אתניקס מסאלה,,,
4,אתניקס היי,דרומה,דיג'י,
4,באה התזמורת,שירי תזמורת וכלי הקשה לילדים,,
4,הדסה באו,למרות הקול הכל בסדר,,
4,יאיר באני,ברוח הזמן,,
4,באמת או,בצחוק מתוך ההצגה,,
4,בבהילו יצאנו,מצרים סדר פסח של יהודי מרוקו,,
4,תזמורת כלי,פריטה בנגב באר שבע קונסרבטוריום העירוני,,
4,תזמורת הנוער,העירוני באר שבע,,
4,אלברט בגר,קברטט,,
4,בגובה העיניים,יוני רכטר עלי מוהר,,
4,מנחם בגין,דיוקן,,
4,מני בגר,רוק תל אביב,,
4,מני בגר,הייתי בגן עדן,,
4,מני בגר,חייל של יום אחד,,
4,מני בגר,יצחק קלפטר דואט שלי עם יצחק,,
4,בדומיה שירי,יהדות ברית המועצות ואסירי ציון,,
4,שרה בדני,,,
4,בדל של,אור ברי סחרוף דודו טסה,,
4,בדרך לארוויזיון,,,
4,בדרך מערבה,,,
4,רוברט יוסף,בכר,,
4,בוא איתי,אל הגליל,,
4,בוא לבר,בונג רוק,,
4,בוא לבר,החבר שלי חשושי,,
4,בוא לבר,ג,,
4,בואו נשיר,,,
4,יעקב בודו,הצביעו בעד בודו,,
4,יעקב בודו,יידיש קייט,,
4,מרדכי בוזגלו,אל המקורות,,
4,מרדכי בוזגלו,לשיר ולשמוח,,
4,עירית בולקה,אדון שלי,דיג'י,
4,עירית בולקה,אנא סלח,,
4,עירית בולקה,בחלום אחר,,
4,עירית בולקא,כמו שני זרים,,
4,עירית בולקא,לילה קר,,
4,עירית בולקא,הלאה,,
4,בום פם,רויאל,,
4,בוני ירושלים,,,
4,א א,בוסקוביץ סויטה שמית שרשרת הזהב,,
4,בוסתן ספרדי,,,
4,אלון בור,חלומריבה,,
4,בורגראנץ שיר,התפריט,,
4,צבי בורודו,,,
4,מייק בורשטיין,שלכם לשעה קלה,,
4,מייק בורשטיין,שר ומספר,,
4,מייק בורשטיין,חווה אלברשטיין יידיש פולקסונגס,,
4,מייק בורשטיין,להיטי זהב,,
4,מייק בורשטיין,באנגלית לייב בירושלים,,
4,מייק בורשטיין,סונגס טו גרייט יידיש מיוזיקלס,,
4,מייק בורשטיין,באנגלית לייב בירושלים במהדורה אחרת,,
4,מייק בורשטיין,בשירי מרדכי גבירטיג,,
4,משפחת בורשטיין,א חתונה אין שטעטל,,
4,משפחת בורשטיין,מיין שטעטעלע בעלז,,
4,הבחורים מאפיקים,,,
4,הבחורים מאפיקים,,,
4,הבחורים מאפיקים,לשיר זה כמו לסחוב פסנתר,,
4,הבחורים מאפיקים,שירי לאה גולדברג,,
4,בחייהם ובמותם,,,
4,הבטלנים עבודה,בעיניים,,
4,ג'נה ביאליק,ארץ,,
4,ביידיש זה,נשמע יותר טוב,,
4,ביגי,,,
4,בין הצלצולים,מחזמר,,
4,דה גרייט,אנד גלורייס,,
4,תיאודור ביקל,יהדות הדממה,,
4,רותי ביקל,הירח הצהוב,,
4,אריק בירן,להיות כוכב,,
4,סמי בירנבך,ונבג'מין לואו מייד טו מגר,,
4,סמי בירנבך,ומיתר,,
4,בלובנד,,,
4,בלוז לחופש,הגדול,,
4,יוני בלוך,הרגלים רעים,,
4,יוני בלוך,אולי זה אני,,
4,בלונים נירה,עדי ישראל גוריון,,
4,בלי סודות,,,
4,אבי בללי,המהגר,,
4,בלקן ביטבוקס,נו מייד רמיקסס,,
4,בלקן ביטבוקס,נו מד,,
4,בלקן ביטבוקס,שט איט אאוט,,
4,בלקן ביטבוקס,תרגול,,
4,בלקפילד,,,
4,בלקפילד וולקם,טו מי דנא,,
4,במזל דגים,,,
5,זהבה בן,טיפת מזל,,
5,זהבה בן,שרה זהר ארגוב,,
5,זהבה בן,אינטה אומרי,,
5,זהבה בן,סלמאט ל בלבד,שדרים,
5,זהבה בן,איזה מין עולם ל,שדרים,
5,חנן בן,ארי יש כאן יותר מזה,,
5,אביתר בנאי,הראשון,,
5,אביתר בנאי,לילה כיום יאיר,,
5,אביתר בנאי,החיים מתחילים לנגן,,
5,אביתר בנאי,עוגן במים,,
5,אהוד בנאי,והפליטים חדש,,
5,אהוד בנאי,קרוב,,
5,אהוד בנאי,קרוב חדש,,
5,אהוד בנאי,השלישי,,
5,אהוד בנאי,ויעקב בנאי תחת שיח היסמין,,
5,אהוד בנאי,עוד מעט,,
5,יובל בנאי,רשיי דאב,,
5,יוסי בנאי,אנונימוס בלפי הגדול,,
5,יוסי בנאי,תעלולי מקס ומוריץ,,
5,יוסי בנאי,מספר ושר תעלולי המצחיקים של הרשלה מאוסטריפול וחכמי חלם,,
5,יוסי בנאי,קורא מהתנך,,
5,יוסי בנאי,קורא את תור המלחמה של חיים חפר,,
5,יוסי בנאי,מרוב אהבה,,
5,יוסי בנאי,שיכור ולא מיין,,
5,יוסי בנאי,מאזן האהבות,,
5,יוסי בנאי,עם נדע לאהוב,,
5,יוסי בנאי,פרצוץ של צועני,,
5,יוסי בנאי,ספירת מלאי,,
5,יוסי בנאי,אני וסימון ומויז הקטן,חלק א,
5,יוסי בנאי,אני וסימון ומויז הקטן,חלק ב,
5,יוסי בנאי,הגורילה שר ברסנס,,
5,יוסי בנאי,אין אהבות שמחות,,
5,מאיר בנאי,גשם,,
5,מאיר בנאי,כשהיום עולה,,
5,מאיר בנאי,הצבעים משתנים,,
5,מאיר בנאי,הופעה חייה,,
5,מאיר בנאי,ובניהם,,
5,דן בן,אמוץ איך לעשות מה,,
5,דן בן,אמוץ בסירה אחת,,
5,דוד בן,גוריון זכרונות,,
5,דוד בן,גוריון האיש מאחורי האגדה,,
5,דוד בן,גוריון איי קנט הירינג נאו,,
5,מרדכי בן,דוד וכל מאמינים,,
5,רונן בן,טל תיקיות,,
5,רונן בן,טל תיקיות מחודש,,
5,מרדכי בן,דוד נשמה,,
5,דורי בן,זאב לכיוון מערב,,
5,דורי בן,זאב לימונדה,,
5,דורי בן,זאב גנבים,,
5,דורי בן,זאב חניה פרטית,,
5,יותם בן,חורין דיסטנט לאבר,,
5,רונן בן,טל דורך במקום מזנק לרחוק,,
5,דני בן,ישראל שיר ערש לנווד,,
5,דני בן,ישראל הוא אכל אותה,,
5,דני בן,ישראל בולשיט שלוש ורבע,,
5,דני בן,ישראל חנטריש שלוש ורבע,,
5,דני בן,ישראל כוכב הצפון,,
5,דני בן,ישראל דה קטמנדו סשנס,,
5,בן מוש,ולהקתו הינה בא היום עם ישי לוי,,
5,חפלה עם,בן מוש ולהקתו סולן ישי לוי,,
5,יענקלה בן,סירה הבנה נבשל,,
5,מרים בן,עזרה פולקס סונגס אוף ישראל,,
5,טובה בן,צבי משרי הארץ,,
5,טובה בן,צבי חופשות בישראל (צרפתית),,
5,טובה בן,צבי שירי חג ומועד,,
5,יצחק בן,צבי בעין דור,,
5,אילן בן,שחר קיץ של אהבה,,
5,,שירי נחמיה בן תור בביצוע אסתי בן שבת,,
5,אנחנו שרים,לך שירי נחמיה בן תור 2,,
5,בנות חוה,,,
5,בנזין,,,
5,בנזין,משמרת לילה,,
5,בנזין,האוסף,,
5,בנזין,פנס כחול,,
5,בנזין,24 שעות,,
5,בנזין,קחי אותי הביתה,,
5,בנזין,מים שקטים,,
5,בנזין,פגע וברח,,
5,בנזין,פנים מול פנים,,
5,בנזין,על פני השטח,,
5,בנזין,היי היי,,
5,בנזין,זה הכל,,
5,בנזין,גשם,,
5,עמיר בניון,ניצחת איתי הכל,,
5,בני בום,,,
5,דה רביס,סאנס הללו,,
5,דה רביס,סאנס טו לייף,,
5,בני עקיבא,50 שנה לבני עקיבא,,
5,דני בסן,,,
5,דני בסן,הילד שבי,,
5,בציר טוב,,,
5,בצל ירוק,טעם של פעם,,
5,בצלאל ישראל,פולקלור,,
5,בצלאל אנד,דה סברס,,
5,בצלאל אנד,דה סברס ירושלים של זהב,,
5,משה בקר,חפצים אישיים,,
5,ג'ורג' בר,בלהיט הלו הלו,,
5,הראלה בר,קשה בלילה,,
5,הראלה בר,קטיפה,,
5,ג'ורג' בר,בלהיט מאמי,,
5,שמעון בר,משירי עמוס אטינגר,,
5,בראבא בואו,לטייל,,
6,ג'קי בראון,אל תנגנו את השיר הזה,,
6,מודי בראון,הופעות חיות מאולפן ליגת האלופות לזכרו,,
6,רינה בראל,ואת לא כאן,,
6,רמי בר,דוד אי אפשר לדעת,,
6,שמשון ברנוי,ישראל סונגס פיצרינג,,
6,רון בר,נוף עמק הים,,
6,רוני בר,נוף לכו אחרי המנגן בחליל,,
6,רמי בר,ניב רפסודיה בכחול מנגן ג'ז,,
6,בראש המצעד,,,
6,בראבא סיפור,ופזמונים ע''פ תוכנית הטלויזיה,,
6,בראבא פס,הקול המקורי של תוכנית הטלויזיה,,
6,תימנע בראוור,,,
6,הנרי ברטר,מדאם לה רווא,,
6,בראשית,,,
6,דיודי ברוזה,האישה שאיתי,,
6,דיויד ברוזה,קלף,,
6,דיויד ברוזה,ברוזה,,
6,דיויד ברוזה,נשיקה גנובה,,
6,דיויד ברוזה,רחוב מהבית,,
6,דיויד ברוזה,לה קאסה לימון,,
6,ברוק אחד,,,
6,עמוס ברזל,רוק כן רול,,
6,רמי ברזל,משהו בפנים,,
6,שלווה ברטי,נולדה מחדש,,
6,שלווה ברטי,שלווה,,
6,שלווה ברטי,שרה יוסף הדר,,
6,ישראל ברייט,קוף עירוני,,
6,הברירה הטבעית,אלי שורשים,,
6,הברירה הטבעית,מתוך כלים שבורים,,
6,הברירה הטבעית,חוט שזור,,
6,הברירה הטבעית,מחכים לסמסונג,,
6,הברירה הטבעית,מתוך תוכניתם ותקליטם החדשים של הברירה הטבעית,,
6,ההנאות הקטנות,שבחיים ערב ברטולד ברכט,,
6,,שירי ברכט,,
6,גבי ברלין,אין כמו השיר הזה,,
6,גבי ברלין,ממשיך ושר,,
6,אריק ברמן,אהבה ואלוהים אחרים,,
6,אריק ברמן,1 2,,
6,בני ברמן,במבחר שיריו,,
6,בני ברמן,חיי אדם,,
6,בני ברמן,גלגול שני,,
6,אביתר ברנוביץ,מרוב שאהבתי אותך משירי דיויד אבידן,,
6,מייק ברנט,כל הלהיטים הגדולים,,
6,ניני ברנט,אני שבשירים,,
6,ברנשים וחלומות,,,
6,דודו ברק,דרך ארץ השקד שירי ארץ ישראל,,
6,קרן ברק,בבירות 12 אינץ ו7 אינץ,,
6,יהודה ברקן,מספר סיפורים,,
6,דודו ברק,אכלתה אותה,,
6,מוטי ברקן,מספר ושר,,
6,מוטי ברקן,מספר ושר כוכב המשחקים,,
6,מוטי ברקן,הלב מסעו של מרקו מהאפנינים אל האנדים,,
6,מוטי ברקן,גוליבר,,
6,מוטי ברקן,שרגה אור,,
6,יגאל בשן,לצפון באהבה,,
6,יגאל בשן,איתך הלילה,,
6,יגאל בשן,יש לי ציפור קטנה בלב,,
6,יגאל בשן,מכת שמש,,
6,יגאל בשן,לא לבד,,
6,יגאל בשן,צבעים,,
6,יגאל בשן,נטו,,
6,יגאל בשן,קפה אצל ברטה,,
6,יגאל בשן,ולהקת בראש,,
6,יגאל בשן,נולדתי במזל בתולה,,
6,יגאל בשן,מסע אל תוך הזמן,,
6,יגאל בשן,איתה,,
6,יגאל בשן,יו גוט דה פאוור תוצרת גרמניה כולל אינסרט ופוסטר ענק,,
6,יגאל בשן,ניל בשן היי און איזי פילינג,,
6,בן בשן,איי אמם רדי,,
6,בן בשן,יו אר דה אונלי וואן,,
6,בשערייך ירושילם,שירים לירושלים,,
6,בתי כנסת,בירושלים מבוא לסיור של יחזקל פריימן,,
6,בת המלך,אגדת שלושה וארבעה מאת ביאליק,,
6,בתים משוקולד,שירי יוסי בכר לילדים,,
6,בתרי זוזי,,,
6,יהורם גאון,הקלטות מקוריות קופסאת,דיסקים,
6,יהורם גאון,איסרפון,,
6,יהורם גאון,תקליט ראשון איפה הן הבחורות,,
6,יהורים גאון,שר כל העיר מרכלת עלינו,,
6,יהורם גאון,מבחר להיטים,,
6,יהורם גאון,בשירי משה וילנסקי,,
6,יהורם גאון,אלף נשיקות,,
6,יהורם גאון,סימני דרך,,
6,יהורם גאון,ירח מלא,,
6,יהורם גאון,אני ירושלמי,,
6,יהורם גאון,בתוכנית יחיד,,
6,יהורים גאון,איתך בלעדיך,,
6,יהורם גאון,שירי שבת,,
6,יהורם גאון,פיוטים לשבת נוסח יהודי ספרד,,
6,יהורם גאון,שירים לפסח במסורת יהודי ספרד,,
6,יהורם גאון,79,,
6,יהורם גאון,מעשיות אלך לילה ולילה,,
6,יהורם גאון,קורא עזית בין שלגי החרמון,,
6,יהורם גאון,קורא עזית שטה בצוללת,,
6,יהורם גאון,שיר ערש לילדי הקטן,,
7,גאולה גיל,פולק מיוזיק ישראלי,,
7,גאולה גיל,סינגס ישראלי פולקסונג,,
7,גאולה גיל,הולידיי songs of israel,,
7,‏the exciting,world of גאולה גיל,,
7,גאולה גיל,עם דוב זלצר ומיכאל קגן גאולה גיל עם דוב זלצר ומיכאל,,
7,גאולה גיל,נאו,,
7,גאולה גיל,ספונפול אוף שוגר song from for the young לא יודעת משהו כזה,,
7,גאולה גיל,שירי הזהב של גאולה גיל,,
7,,שירי מדוע זברה לובשת פיג'מה בשירי ילדים גאולה גיל,,
7,שלישיית גאולה,גיל,,
7,גאולה גיל,ראשי עליי סובב,,
7,גאולה גיל,עם להקת אורנים צבר,,
7,ג'יין בורדו,אוקיינוסים,,
7,ג'יין בורדו,מה שחשוב,,
7,ג'יין בורדו,בלי שם,,
7,ג'יין בורדו,כישוף,,
7,משה גיאת,בשרונה הגאולה,,
7,משה גיאת,שירי שירי שירי קודש ומסורת,,
7,משה גיאת,בליווי מקהלת מזמורי אביב,,
7,מוש הגיע,תודה לאמא,,
7,משה גיאת,שירת הזמיר,,
7,משה גיאת,השקיני יין בליווי מקהלת מזמורי אביב,,
7,משה גיאת,בטוב וברע,,
7,משה גיאת,פעמון זהב,,
7,משה גיאת,חלומות,,
7,רביב גזית,זה,,
7,גזוז גלגל,שני,,
7,גזוז,,,
7,אלי גורנשטיין,על עץ התות בשירי ילדות,,
7,עדנה גורן,התחדשות,,
7,עדנה גורן,שרה משירי ברט בכרך ואחרים,,
7,עדנה גורן,כי מדברות עינייך,,
7,מני גורמן,החצוצרה של מני גורמן,,
7,ישראל גוריון,עומד לי על קצה הלשון בשירים גסים,,
7,ישראל גוריון,ישראפון,,
7,ישראל גוריון,שר,,
7,ישראל גוריון,אמא אורי רוצה קצת מים,,
7,שרה גורבי,עם תזמורת קול ישראל ומקהלת קול ציון לגולה ביידיש,,
7,שרה גורבי,מלודיז אוף ישראל,,
7,ג'וסי אנד,היז בנד אט דה דן הוטל,,
7,סנדרה ג'ונסון,סשה ארגוב שירים חדשים,,
7,יוסף גולנד,שר בשלוש שפות,,
7,ציון גולן,הטעם התימני במחזורת להיטים בתימנית,,
7,ציון גולן,חביב גלבי להיטי תימן מספר 6,,
7,ציון גולן,נעלה נעלה,,
7,ציון גולן,להיטי תימן מספר 4,,
7,ציון גולן,להיטי תימן מספר 3,,
7,ציון גולן,להיטי תימן מספר 2,,
7,ציון גולן,להיטי תימן מספר 1,,
7,גוליבר בארץ,הגמדים,,
7,חנן גולדבלט,משירי ז'ילבר בקו,,
7,חנן גולדברט,צד אחר,,
7,אליהו גולדנברג,שי חנוכה,,
7,שמואל גוגול,וילדיו הרמוניקה בנד,,
7,גדי גוב,תנו לגדול בשקט,,
7,גידי גוב,אין עוד יום,,
7,גידי גוב,אין עוד יום,מהדורה חדשה,
7,גידי גוב,תקליט דרך ארץ ההופעה צוותא 20.5.88,שדרים,
7,גידי גוב,דרך ארץ,,
7,גידי גוב,40:06:00,,
7,גידי גוב,תקליט ראשון,,
7,גידי גוב,תקליט ראשון,מהדורה חדשה,
7,אבנר גדסי,דף חדש,,
7,אבנר גדסי,,,
7,אבנר גדסי,12 להיטי זהב,,
7,אבנר גדסי,מנגן ושר,,
7,אבנר גדסי,מדליק,,
